,NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,PT08.S1(CO)
NMHC(GT),1.0,0.03354980165358002,0.11009484363158009,-0.0055636649377287005,0.04273236017442776,0.10007653522017479,0.1603129447511022,0.10168900982449242,-0.0061215687317625195,0.005422661949309781,0.007511951333299313,0.16912529062809756
C6H6(GT),0.03354980165358002,1.0,0.7675797363468273,-0.004929297666101056,0.507535173200622,-0.016032420740610166,0.7766407216157166,0.6411021183877514,0.9707335142714613,0.924211382733079,0.9842467511140166,0.850981854123615
PT08.S2(NMHC),0.11009484363158009,0.7675797363468273,1.0,0.33670315470517614,-0.07933608919339336,0.18352179851229053,0.8752230856093539,0.9101869380605787,0.6664275784779858,0.5852721972424919,0.645404562104617,0.9325328896366135
NOx(GT),-0.0055636649377287005,-0.004929297666101056,0.33670315470517614,1.0,-0.4495740466503565,0.8166981362653931,0.0384839991011697,0.4684113013149105,-0.14577263611135838,-0.058957621577716335,-0.10296641143824224,0.2825661599279649
PT08.S3(NOx),0.04273236017442776,0.507535173200622,-0.07933608919339336,-0.4495740466503565,1.0,-0.27013889391557344,0.11844996095281296,-0.21648460053237756,0.5865788751964813,0.5678268787803018,0.6187881545461292,0.07725243550725214
NO2(GT),0.10007653522017479,-0.016032420740610166,0.18352179851229053,0.8166981362653931,-0.27013889391557344,1.0,-0.01716800983237922,0.26213444189773,-0.09229335128665406,-0.09065180823350981,-0.06941733009643071,0.15835134643880103
PT08.S4(NO2),0.1603129447511022,0.7766407216157166,0.8752230856093539,0.0384839991011697,0.11844996095281296,-0.01716800983237922,1.0,0.7247682185207734,0.7547357217664854,0.6415172471705195,0.6931549310272486,0.8447550813655628
PT08.S5(O3),0.10168900982449242,0.6411021183877514,0.9101869380605787,0.4684113013149105,-0.21648460053237756,0.26213444189773,0.7247682185207734,1.0,0.5010530090718087,0.5237767662737705,0.5178220434429069,0.8937996633579444
T,-0.0061215687317625195,0.9707335142714613,0.6664275784779858,-0.14577263611135838,0.5865788751964813,-0.09229335128665406,0.7547357217664854,0.5010530090718087,1.0,0.884201934354119,0.9808952838636708,0.7504074336980657
RH,0.005422661949309781,0.924211382733079,0.5852721972424919,-0.058957621577716335,0.5678268787803018,-0.09065180823350981,0.6415172471705195,0.5237767662737705,0.884201934354119,1.0,0.9432578573028719,0.7440570931706885
AH,0.007511951333299313,0.9842467511140166,0.645404562104617,-0.10296641143824224,0.6187881545461292,-0.06941733009643071,0.6931549310272486,0.5178220434429069,0.9808952838636708,0.9432578573028719,1.0,0.7620413239016436
PT08.S1(CO),0.16912529062809756,0.850981854123615,0.9325328896366135,0.2825661599279649,0.07725243550725214,0.15835134643880103,0.8447550813655628,0.8937996633579444,0.7504074336980657,0.7440570931706885,0.7620413239016436,1.0
